URL,product_id,Русский slug,Украинский slug,images,item_name,category_name,manufacturer_name,sku,model,stock_status,is_active,warranty,price,Русский title,Русский description,Украинский title,Украинский description,Тип оборудования,Размеры,В упаковке,Цвет товара
https://001.com.ua/ploschadka-20x20-dlya-homutov-samokleyuschayasya-belaya-upakovka-100-sht-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/montazh/asko-ukrem-ploschadki-dlya-homutov-photo.jpg ;; https://001.com.ua/media/photos/asko/montazh/gabaritnye-razmery-asko-ploschadka-dlya-homutov-20-20-photo.jpg,"Площадка 20×20 для хомутов самоклеющаяся белая (упаковка 100 шт.), АСКО-УКРЕМ",Самоклеящиеся площадки для хомутов,АСКО-УКРЕМ,A0150090015,A0150090015,instock,1,12,"71,36","Площадка 20×20 для хомутов самоклеющаяся белая (упаковка 100 шт.), АСКО-УКРЕМ","<h2>Описание товара</h2><p>Предназначены для удобства крепления электрических проводов к гладким плоскостям. Содержат прямоугольный паз для крепления хомутов.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Материал изготовления</td><td>нейлон 6.6</td></tr><tr><td>Температура эксплуатации, °C</td><td>-20...+60</td></tr></tbody></table> ","Майданчик 20×20 для хомутів самоклейкий білий (упаковка 100 шт.), АСКО-УКРЕМ","<h2>Опис товару</h2><p>Призначені для зручності кріплення електричних проводів до гладких поверхонь. Містять прямокутний паз для кріплення хомутів.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Матеріал виготовлення</td><td>нейлон 6.6</td></tr><tr><td>Температура експлуатації, °C</td><td>-20...+60</td></tr></tbody></table> ",Русский ~ Площадка под стяжку,Русский ~ 20×20,Русский ~ 100шт,Русский ~ Белый
https://001.com.ua/ploschadka-25x25-dlya-homutov-samokleyuschayasya-belaya-upakovka-100-sht-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/montazh/asko-ukrem-ploschadki-dlya-homutov-photo.jpg ;; https://001.com.ua/media/photos/asko/montazh/gabaritnye-razmery-asko-ploschadka-dlya-homutov-25-25-photo.jpg,"Площадка 25×25 для хомутов самоклеющаяся белая (упаковка 100 шт.), АСКО-УКРЕМ",Самоклеящиеся площадки для хомутов,АСКО-УКРЕМ,A0150090016,A0150090016,instock,1,12,"125,48","Площадка 25×25 для хомутов самоклеющаяся белая (упаковка 100 шт.), АСКО-УКРЕМ","<h2>Описание товара</h2><p>Предназначены для удобства крепления электрических проводов к гладким плоскостям. Содержат прямоугольный паз для крепления хомутов.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Материал изготовления</td><td>нейлон 6.6</td></tr><tr><td>Температура эксплуатации, °C</td><td>-20...+60</td></tr></tbody></table> ","Майданчик 25×25 для хомутів самоклейкий білий (упаковка 100 шт.), АСКО-УКРЕМ","<h2>Опис товару</h2><p>Призначені для зручності кріплення електричних проводів до гладких поверхонь. Містять прямокутний паз для кріплення хомутів.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Матеріал виготовлення</td><td>нейлон 6.6</td></tr><tr><td>Температура експлуатації, °C</td><td>-20...+60</td></tr></tbody></table> ",Русский ~ Площадка под стяжку,Русский ~ 25×25,Русский ~ 100шт,Русский ~ Белый
https://001.com.ua/ploschadka-20x20-mm-pod-kabelnuyu-styazhku-belaya-upakovka-100-sht-e-ctb-stand-20-20-e-next,new,,,https://001.com.ua/media/photos/enext/montazh/enext-ploschadka-pod-styazhku-e-ctb-stand-photo.jpg ;; https://001.com.ua/media/photos/enext/montazh/gabaritnye-razmery-enext-ploschadka-dlya-styazhek-e-ctb-stand-20-20-s015097-photo.jpg,"Площадка 20×20 мм под кабельную стяжку белая (упаковка 100 шт.) e.ctb.stand.20.20, E.NEXT",Самоклеящиеся площадки для хомутов,E.NEXT,s015097,s015097,instock,1,12,"65,10","Площадка 20×20 мм под кабельную стяжку белая (упаковка 100 шт.) e.ctb.stand.20.20, E.NEXT",<h2>Описание товара</h2><p>Предназначена для крепления кабельных хомутов к поверхностям с помощью нанесенного клеющего слоя.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Материал</td><td>нейлон 6.6</td></tr></tbody></table> ,"Майданчик 20×20 мм під кабельну стяжку білий (упаковка 100 шт.) e.ctb.stand.20.20, E.NEXT",<h2>Опис товару</h2><p>Призначена для кріплення кабельних хомутів до поверхонь за допомогою нанесеного клеючого шару.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Матеріал</td><td>нейлон 6.6</td></tr></tbody></table> ,Русский ~ Площадка под стяжку,Русский ~ 20×20,Русский ~ 100шт,Русский ~ Белый
https://001.com.ua/ploschadka-40x40-dlya-homutov-samokleyuschayasya-belaya-upakovka-50-sht-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/montazh/asko-ukrem-ploschadki-dlya-homutov-photo.jpg ;; https://001.com.ua/media/photos/asko/montazh/gabaritnye-razmery-asko-ploschadka-dlya-homutov-40-40-photo.jpg,"Площадка 40×40 для хомутов самоклеющаяся белая (упаковка 50 шт.), АСКО-УКРЕМ",Самоклеящиеся площадки для хомутов,АСКО-УКРЕМ,A0150090018,A0150090018,instock,1,12,"169,70","Площадка 40×40 для хомутов самоклеющаяся белая (упаковка 50 шт.), АСКО-УКРЕМ","<h2>Описание товара</h2><p>Предназначены для удобства крепления электрических проводов к гладким плоскостям. Содержат прямоугольный паз для крепления хомутов.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Материал изготовления</td><td>нейлон 6.6</td></tr><tr><td>Температура эксплуатации, °C</td><td>-20...+60</td></tr></tbody></table> ","Майданчик 40×40 для хомутів самоклейкий білий (упаковка 50 шт.), АСКО-УКРЕМ","<h2>Опис товару</h2><p>Призначені для зручності кріплення електричних проводів до гладких поверхонь. Містять прямокутний паз для кріплення хомутів.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Матеріал виготовлення</td><td>нейлон 6.6</td></tr><tr><td>Температура експлуатації, °C</td><td>-20...+60</td></tr></tbody></table> ",Русский ~ Площадка под стяжку,Русский ~ 40×40,Русский ~ 50шт,Русский ~ Белый
https://001.com.ua/ploschadka-25x25-mm-pod-kabelnuyu-styazhku-belaya-upakovka-100-sht-e-ctb-stand-25-25-e-next,new,,,https://001.com.ua/media/photos/enext/montazh/enext-ploschadka-pod-styazhku-e-ctb-stand-photo.jpg ;; https://001.com.ua/media/photos/enext/montazh/gabaritnye-razmery-enext-ploschadka-dlya-styazhek-e-ctb-stand-25-25-s015098-photo.jpg,"Площадка 25×25 мм под кабельную стяжку белая (упаковка 100 шт.) e.ctb.stand.25.25, E.NEXT",Самоклеящиеся площадки для хомутов,E.NEXT,s015098,s015098,instock,1,12,"120,45","Площадка 25×25 мм под кабельную стяжку белая (упаковка 100 шт.) e.ctb.stand.25.25, E.NEXT",<h2>Описание товара</h2><p>Предназначена для крепления кабельных хомутов к поверхностям с помощью нанесенного клеющего слоя.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Материал</td><td>нейлон 6.6</td></tr></tbody></table> ,"Майданчик 25×25 мм під кабельну стяжку білий (упаковка 100 шт.) e.ctb.stand.25.25, E.NEXT",<h2>Опис товару</h2><p>Призначена для кріплення кабельних хомутів до поверхонь за допомогою нанесеного клеючого шару.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Матеріал</td><td>нейлон 6.6</td></tr></tbody></table> ,Русский ~ Площадка под стяжку,Русский ~ 25×25,Русский ~ 100шт,Русский ~ Белый
https://001.com.ua/ploschadka-30x30-dlya-homutov-samokleyuschayasya-belaya-upakovka-100-sht-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/montazh/asko-ukrem-ploschadki-dlya-homutov-photo.jpg ;; https://001.com.ua/media/photos/asko/montazh/gabaritnye-razmery-asko-ploschadka-dlya-homutov-30-30-photo.jpg,"Площадка 30×30 для хомутов самоклеющаяся белая (упаковка 100 шт.), АСКО-УКРЕМ",Самоклеящиеся площадки для хомутов,АСКО-УКРЕМ,A0150090017,A0150090017,instock,1,12,"167,82","Площадка 30×30 для хомутов самоклеющаяся белая (упаковка 100 шт.), АСКО-УКРЕМ","<h2>Описание товара</h2><p>Предназначены для удобства крепления электрических проводов к гладким плоскостям. Содержат прямоугольный паз для крепления хомутов.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Материал изготовления</td><td>нейлон 6.6</td></tr><tr><td>Температура эксплуатации, °C</td><td>-20...+60</td></tr></tbody></table> ","Майданчик 30×30 для хомутів самоклейкий білий (упаковка 100 шт.), АСКО-УКРЕМ","<h2>Опис товару</h2><p>Призначені для зручності кріплення електричних проводів до гладких поверхонь. Містять прямокутний паз для кріплення хомутів.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Матеріал виготовлення</td><td>нейлон 6.6</td></tr><tr><td>Температура експлуатації, °C</td><td>-20...+60</td></tr></tbody></table> ",Русский ~ Площадка под стяжку,Русский ~ 30×30,Русский ~ 100шт,Русский ~ Белый
https://001.com.ua/ploschadka-40x40-mm-pod-kabelnuyu-styazhku-belaya-upakovka-100-sht-e-ctb-stand-40-40-e-next,new,,,https://001.com.ua/media/photos/enext/montazh/enext-ploschadka-pod-styazhku-e-ctb-stand-photo.jpg ;; https://001.com.ua/media/photos/enext/montazh/gabaritnye-razmery-enext-ploschadka-dlya-styazhek-e-ctb-stand-40-40-s015100-photo.jpg,"Площадка 40×40 мм под кабельную стяжку белая (упаковка 100 шт.) e.ctb.stand.40.40, E.NEXT",Самоклеящиеся площадки для хомутов,E.NEXT,s015100,s015100,instock,1,12,"263,40","Площадка 40×40 мм под кабельную стяжку белая (упаковка 100 шт.) e.ctb.stand.40.40, E.NEXT",<h2>Описание товара</h2><p>Предназначена для крепления кабельных хомутов к поверхностям с помощью нанесенного клеющего слоя.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Материал</td><td>нейлон 6.6</td></tr></tbody></table> ,"Майданчик 40×40 мм під кабельну стяжку білий (упаковка 100 шт.) e.ctb.stand.40.40, E.NEXT",<h2>Опис товару</h2><p>Призначена для кріплення кабельних хомутів до поверхонь за допомогою нанесеного клеючого шару.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Матеріал</td><td>нейлон 6.6</td></tr></tbody></table> ,Русский ~ Площадка под стяжку,Русский ~ 40×40,Русский ~ 100шт,Русский ~ Белый
https://001.com.ua/ploschadka-30x30-mm-pod-kabelnuyu-styazhku-belaya-upakovka-100-sht-e-ctb-stand-30-30-e-next,new,,,https://001.com.ua/media/photos/enext/montazh/enext-ploschadka-pod-styazhku-e-ctb-stand-photo.jpg ;; https://001.com.ua/media/photos/enext/montazh/gabaritnye-razmery-enext-ploschadka-dlya-styazhek-e-ctb-stand-30-30-s015099-photo.jpg,"Площадка 30×30 мм под кабельную стяжку белая (упаковка 100 шт.) e.ctb.stand.30.30, E.NEXT",Самоклеящиеся площадки для хомутов,E.NEXT,s015099,s015099,instock,1,12,"156,16","Площадка 30×30 мм под кабельную стяжку белая (упаковка 100 шт.) e.ctb.stand.30.30, E.NEXT",<h2>Описание товара</h2><p>Предназначена для крепления кабельных хомутов к поверхностям с помощью нанесенного клеющего слоя.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Материал</td><td>нейлон 6.6</td></tr></tbody></table> ,"Майданчик 30×30 мм під кабельну стяжку білий (упаковка 100 шт.) e.ctb.stand.30.30, E.NEXT",<h2>Опис товару</h2><p>Призначена для кріплення кабельних хомутів до поверхонь за допомогою нанесеного клеючого шару.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Матеріал</td><td>нейлон 6.6</td></tr></tbody></table> ,Русский ~ Площадка под стяжку,Русский ~ 30×30,Русский ~ 100шт,Русский ~ Белый
https://001.com.ua/ploschadka-samokleyaschayasya-20x20-pod-homuty-belaya-upakovka-20-sht-iek,new,,,https://001.com.ua/media/photos/iek/montazh/iek-ploschadka-samokleyaschayasya-pod-homuty-belaya-photo.jpg ;; https://001.com.ua/media/photos/iek/montazh/gabaritnye-razmery-iek-ploschadka-20-20-photo.jpg,"Площадка самоклеящаяся 20×20 под хомуты белая (упаковка 20 шт.), IEK",Самоклеящиеся площадки для хомутов,IEK,UHP30-20-020,UHP30-20-020,outofstock,1,12,"17,12","Площадка самоклеящаяся 20×20 под хомуты белая (упаковка 20 шт.), IEK","<h2>Описание товара</h2><p>Предназначены для крепления кабельных хомутов на гладких поверхностях. С самоклеящимся слоем.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Размер, мм</td><td>20×20</td></tr><tr><td>Цвет</td><td>белый</td></tr></tbody></table>","Майданчик самоклейкий 20×20 під хомути білий (упаковка 20 шт.), IEK","<h2>Опис товару</h2><p>Призначені для кріплення кабельних хомутів на гладких поверхнях. З самоклейким шаром.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Розмір, мм</td><td>20×20</td></tr><tr><td>Колір</td><td>білий</td></tr></tbody></table>",Русский ~ Площадка под стяжку,Русский ~ 20×20,Русский ~ 20шт,Русский ~ Белый
https://001.com.ua/ploschadka-samokleyaschayasya-20x20-pod-homuty-chernaya-upakovka-100-sht-iek,new,,,https://001.com.ua/media/photos/iek/montazh/iek-ploschadka-samokleyaschayasya-pod-homuty-chernaya-photo.jpg ;; https://001.com.ua/media/photos/iek/montazh/gabaritnye-razmery-iek-ploschadka-20-20-photo.jpg,"Площадка самоклеящаяся 20×20 под хомуты черная (упаковка 100 шт.), IEK",Самоклеящиеся площадки для хомутов,IEK,UHP31-20-100,UHP31-20-100,outofstock,1,12,"61,18","Площадка самоклеящаяся 20×20 под хомуты черная (упаковка 100 шт.), IEK","<h2>Описание товара</h2><p>Предназначены для крепления кабельных хомутов на гладких поверхностях. С самоклеящимся слоем.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Размер, мм</td><td>20×20</td></tr><tr><td>Цвет</td><td>черный</td></tr></tbody></table>","Майданчик самоклейкий 20×20 під хомути чорний (упаковка 100 шт.), IEK","<h2>Опис товару</h2><p>Призначені для кріплення кабельних хомутів на гладких поверхнях. З самоклейким шаром.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Розмір, мм</td><td>20×20</td></tr><tr><td>Колір</td><td>чорний</td></tr></tbody></table>",Русский ~ Площадка под стяжку,Русский ~ 20×20,Русский ~ 100шт,Русский ~ Черный
https://001.com.ua/ploschadka-samokleyaschayasya-20x20-pod-homuty-belaya-upakovka-100-sht-iek,new,,,https://001.com.ua/media/photos/iek/montazh/iek-ploschadka-samokleyaschayasya-pod-homuty-belaya-photo.jpg ;; https://001.com.ua/media/photos/iek/montazh/gabaritnye-razmery-iek-ploschadka-20-20-photo.jpg,"Площадка самоклеящаяся 20×20 под хомуты белая (упаковка 100 шт.), IEK",Самоклеящиеся площадки для хомутов,IEK,UHP30-20-100,UHP30-20-100,outofstock,1,12,"61,18","Площадка самоклеящаяся 20×20 под хомуты белая (упаковка 100 шт.), IEK","<h2>Описание товара</h2><p>Предназначены для крепления кабельных хомутов на гладких поверхностях. С самоклеящимся слоем.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Размер, мм</td><td>20×20</td></tr><tr><td>Цвет</td><td>белый</td></tr></tbody></table>","Майданчик самоклейкий 20×20 під хомути білий (упаковка 100 шт.), IEK","<h2>Опис товару</h2><p>Призначені для кріплення кабельних хомутів на гладких поверхнях. З самоклейким шаром.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Розмір, мм</td><td>20×20</td></tr><tr><td>Колір</td><td>білий</td></tr></tbody></table>",Русский ~ Площадка под стяжку,Русский ~ 20×20,Русский ~ 100шт,Русский ~ Белый
